Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
CoPt_SG164_0001_1_bridge1-s    2.699    2.788    1.04    3.9    8.0    2    -1.906    2.083    5.731    8.959    2.125    8.833    1.154    2.28    1.095    0.142    this work
CoPt_SG164_0001_1_bridge1-t    2.699    2.705    1.04    3.9    9.5    2    -2.509    2.399    5.731    8.959    2.125    8.746    1.251    2.28    0.719    0.124    this work
CoPt_SG164_0001_1_bridge2-s    2.699    2.773    1.04    3.9    7.0    2    -1.838    1.976    5.731    8.959    2.125    8.877    1.098    2.28    1.083    0.181    this work
CoPt_SG164_0001_1_bridge2-t-1    2.699    2.69    1.04    3.9    9.0    2    -2.488    2.367    5.731    8.959    2.125    8.733    1.223    2.28    0.766    0.121    this work
CoPt_SG164_0001_1_bridge2-t-2    2.699    2.804    1.04    3.9    9.0    2    -1.975    2.19    5.731    8.959    2.125    8.79    1.21    2.28    1.107    0.102    this work
CoPt_SG164_0001_1_fcc-s    2.699    2.793    1.04    3.9    8.333    3    -1.929    2.119    5.731    8.959    2.125    8.819    1.173    2.28    1.099    0.129    this work
CoPt_SG164_0001_1_fcc-t    2.699    2.7    1.04    3.9    9.333    3    -2.502    2.388    5.731    8.959    2.125    8.742    1.242    2.28    0.734    0.123    this work
CoPt_SG164_0001_1_four-fold-s    2.699    2.746    1.04    3.9    8.5    4    -2.184    2.204    5.731    8.959    2.125    8.818    1.189    2.28    0.877    0.154    this work
CoPt_SG164_0001_1_hcp-s    2.699    2.783    1.04    3.9    7.667    3    -1.884    2.048    5.731    8.959    2.125    8.848    1.135    2.28    1.091    0.155    this work
CoPt_SG164_0001_1_hcp-t    2.699    2.71    1.04    3.9    9.667    3    -2.515    2.41    5.731    8.959    2.125    8.751    1.261    2.28    0.703    0.125    this work
CoPt_SG164_0001_1_top-s    2.699    2.773    1.04    3.9    7.0    1    -1.838    1.976    5.731    8.959    2.125    8.877    1.098    2.28    1.083    0.181    this work
CoPt_SG164_0001_1_top-t    2.699    2.69    1.04    3.9    9.0    1    -2.488    2.367    5.731    8.959    2.125    8.733    1.223    2.28    0.766    0.121    this work
CoPt_SG164_0001_2_bridge1-s    2.699    2.581    0.76    1.34    8.0    2    -1.407    1.887    5.276    7.881    0.662    7.617    1.236    1.88    1.405    0.172    this work
CoPt_SG164_0001_2_bridge1-t    2.699    2.818    1.04    3.9    9.5    2    -2.097    2.229    5.276    8.959    2.125    8.728    1.235    2.28    0.779    0.106    this work
CoPt_SG164_0001_2_bridge2-s    2.699    2.589    0.76    1.34    7.0    2    -1.341    1.818    5.276    7.881    0.662    7.632    1.14    1.88    1.68    0.185    this work
CoPt_SG164_0001_2_bridge2-t-1    2.699    2.786    1.04    3.9    9.0    2    -2.107    2.229    5.276    8.959    2.125    8.713    1.232    2.28    0.806    0.113    this work
CoPt_SG164_0001_2_bridge2-t-2    2.699    2.574    0.76    1.34    9.0    2    -1.473    1.955    5.276    7.881    0.662    7.602    1.332    1.88    1.13    0.159    this work
CoPt_SG164_0001_2_fcc-s    2.699    2.579    0.76    1.34    8.333    3    -1.429    1.909    5.276    7.881    0.662    7.612    1.268    1.88    1.313    0.168    this work
CoPt_SG164_0001_2_fcc-t    2.699    2.807    1.04    3.9    9.333    3    -2.1    2.229    5.276    8.959    2.125    8.723    1.234    2.28    0.788    0.108    this work
CoPt_SG164_0001_2_four-fold-s    2.699    2.719    0.9    2.62    8.5    4    -1.714    2.024    5.276    8.42    1.393    8.187    1.189    2.08    1.216    0.142    this work
CoPt_SG164_0001_2_hcp-s    2.699    2.584    0.76    1.34    7.667    3    -1.385    1.864    5.276    7.881    0.662    7.622    1.204    1.88    1.497    0.176    this work
CoPt_SG164_0001_2_hcp-t    2.699    2.828    1.04    3.9    9.667    3    -2.094    2.229    5.276    8.959    2.125    8.733    1.235    2.28    0.769    0.104    this work
CoPt_SG164_0001_2_top-s    2.699    2.589    0.76    1.34    7.0    1    -1.341    1.818    5.276    7.881    0.662    7.632    1.14    1.88    1.68    0.185    this work
CoPt_SG164_0001_2_top-t    2.699    2.786    1.04    3.9    9.0    1    -2.107    2.229    5.276    8.959    2.125    8.713    1.232    2.28    0.806    0.113    this work
CoPt_SG164_0001_3_bridge1-s    2.699    2.535    0.76    1.34    8.0    2    -1.262    1.876    4.753    7.881    0.662    7.775    1.239    1.88    0.98    0.232    this work
CoPt_SG164_0001_3_bridge1-t    2.699    2.692    0.76    1.34    9.5    2    -1.328    1.838    4.753    7.881    0.662    7.724    1.282    1.88    1.996    0.155    this work
CoPt_SG164_0001_3_bridge2-s    2.699    2.53    0.76    1.34    7.0    2    -1.292    1.807    4.753    7.881    0.662    7.77    1.172    1.88    1.219    0.244    this work
CoPt_SG164_0001_3_bridge2-t-1    2.699    2.693    0.76    1.34    9.0    2    -1.327    1.798    4.753    7.881    0.662    7.727    1.255    1.88    2.14    0.163    this work
CoPt_SG164_0001_3_bridge2-t-2    2.699    2.54    0.76    1.34    9.0    2    -1.233    1.945    4.753    7.881    0.662    7.779    1.307    1.88    0.742    0.221    this work
CoPt_SG164_0001_3_fcc-s    2.699    2.537    0.76    1.34    8.333    3    -1.252    1.899    4.753    7.881    0.662    7.776    1.262    1.88    0.901    0.228    this work
CoPt_SG164_0001_3_fcc-t    2.699    2.692    0.76    1.34    9.333    3    -1.328    1.825    4.753    7.881    0.662    7.725    1.273    1.88    2.044    0.158    this work
CoPt_SG164_0001_3_four-fold-s    2.699    2.61    0.76    1.34    8.5    4    -1.31    1.843    4.753    7.881    0.662    7.746    1.241    1.88    1.536    0.195    this work
CoPt_SG164_0001_3_hcp-s    2.699    2.533    0.76    1.34    7.667    3    -1.272    1.853    4.753    7.881    0.662    7.773    1.217    1.88    1.06    0.236    this work
CoPt_SG164_0001_3_hcp-t    2.699    2.692    0.76    1.34    9.667    3    -1.328    1.852    4.753    7.881    0.662    7.723    1.291    1.88    1.948    0.152    this work
CoPt_SG164_0001_3_top-s    2.699    2.53    0.76    1.34    7.0    1    -1.292    1.807    4.753    7.881    0.662    7.77    1.172    1.88    1.219    0.244    this work
CoPt_SG164_0001_3_top-t    2.699    2.693    0.76    1.34    9.0    1    -1.327    1.798    4.753    7.881    0.662    7.727    1.255    1.88    2.14    0.163    this work
CoPt_SG164_0001_4_bridge1-s    2.699    2.705    1.04    3.9    8.0    2    -2.186    2.15    5.285    8.959    2.125    8.947    1.177    2.28    0.68    0.166    this work
CoPt_SG164_0001_4_bridge1-t    2.699    2.614    0.76    1.34    9.5    2    -1.238    1.892    5.285    7.881    0.662    7.68    1.261    1.88    0.715    0.156    this work
CoPt_SG164_0001_4_bridge2-s    2.699    2.68    1.04    3.9    7.0    2    -2.127    2.057    5.285    8.959    2.125    8.943    1.148    2.28    0.638    0.187    this work
CoPt_SG164_0001_4_bridge2-t-1    2.699    2.6    0.76    1.34    9.0    2    -1.218    1.848    5.285    7.881    0.662    7.679    1.219    1.88    0.592    0.155    this work
CoPt_SG164_0001_4_bridge2-t-2    2.699    2.73    1.04    3.9    9.0    2    -2.245    2.243    5.285    8.959    2.125    8.951    1.207    2.28    0.722    0.145    this work
CoPt_SG164_0001_4_fcc-s    2.699    2.713    1.04    3.9    8.333    3    -2.206    2.181    5.285    8.959    2.125    8.948    1.187    2.28    0.694    0.159    this work
CoPt_SG164_0001_4_fcc-t    2.699    2.609    0.76    1.34    9.333    3    -1.231    1.877    5.285    7.881    0.662    7.679    1.247    1.88    0.674    0.155    this work
CoPt_SG164_0001_4_four-fold-s    2.699    2.654    0.9    2.62    8.5    4    -1.692    1.996    5.285    8.42    1.393    8.312    1.225    2.08    0.738    0.172    this work
CoPt_SG164_0001_4_hcp-s    2.699    2.697    1.04    3.9    7.667    3    -2.166    2.119    5.285    8.959    2.125    8.945    1.168    2.28    0.666    0.173    this work
CoPt_SG164_0001_4_hcp-t    2.699    2.618    0.76    1.34    9.667    3    -1.244    1.906    5.285    7.881    0.662    7.68    1.275    1.88    0.756    0.156    this work
CoPt_SG164_0001_4_top-s    2.699    2.68    1.04    3.9    7.0    1    -2.127    2.057    5.285    8.959    2.125    8.943    1.148    2.28    0.638    0.187    this work
CoPt_SG164_0001_4_top-t    2.699    2.6    0.76    1.34    9.0    1    -1.218    1.848    5.285    7.881    0.662    7.679    1.219    1.88    0.592    0.155    this work
CoPt_SG187_0001_1_bridge1-s    2.697    2.607    0.76    1.34    8.0    2    -1.33    1.852    5.302    7.881    0.662    7.644    1.237    1.88    1.516    0.203    this work
CoPt_SG187_0001_1_bridge1-t    2.697    2.717    1.04    3.9    9.5    2    -2.517    2.338    5.302    8.959    2.125    8.834    1.261    2.28    0.798    0.113    this work
CoPt_SG187_0001_1_bridge2-s    2.697    2.626    0.76    1.34    7.0    2    -1.254    1.767    5.302    7.881    0.662    7.66    1.128    1.88    1.757    0.233    this work
CoPt_SG187_0001_1_bridge2-t-1    2.697    2.697    1.04    3.9    9.0    2    -2.551    2.3    5.302    8.959    2.125    8.815    1.246    2.28    0.839    0.106    this work
CoPt_SG187_0001_1_bridge2-t-2    2.697    2.587    0.76    1.34    9.0    2    -1.406    1.936    5.302    7.881    0.662    7.629    1.345    1.88    1.275    0.172    this work
CoPt_SG187_0001_1_fcc-s    2.697    2.6    0.76    1.34    8.333    3    -1.355    1.88    5.302    7.881    0.662    7.639    1.273    1.88    1.435    0.193    this work
CoPt_SG187_0001_1_fcc-t    2.697    2.71    1.04    3.9    9.333    3    -2.529    2.325    5.302    8.959    2.125    8.828    1.256    2.28    0.811    0.111    this work
CoPt_SG187_0001_1_four-fold-s    2.697    2.681    0.9    2.62    8.5    4    -1.869    2.072    5.302    8.42    1.393    8.257    1.202    2.08    1.256    0.177    this work
CoPt_SG187_0001_1_hcp-s    2.697    2.613    0.76    1.34    7.667    3    -1.305    1.824    5.302    7.881    0.662    7.65    1.201    1.88    1.596    0.213    this work
CoPt_SG187_0001_1_hcp-t    2.697    2.723    1.04    3.9    9.667    3    -2.506    2.35    5.302    8.959    2.125    8.841    1.266    2.28    0.784    0.116    this work
CoPt_SG187_0001_1_top-s    2.697    2.626    0.76    1.34    7.0    1    -1.254    1.767    5.302    7.881    0.662    7.66    1.128    1.88    1.757    0.233    this work
CoPt_SG187_0001_1_top-t    2.697    2.697    1.04    3.9    9.0    1    -2.551    2.3    5.302    8.959    2.125    8.815    1.246    2.28    0.839    0.106    this work
CoPt_SG187_0001_2_bridge1-s    2.697    2.708    1.04    3.9    8.0    2    -2.223    2.121    5.304    8.959    2.125    8.863    1.181    2.28    0.727    0.154    this work
CoPt_SG187_0001_2_bridge1-t    2.697    2.688    0.76    1.34    9.5    2    -1.301    1.88    5.304    7.881    0.662    7.66    1.278    1.88    1.588    0.144    this work
CoPt_SG187_0001_2_bridge2-s    2.697    2.68    1.04    3.9    7.0    2    -2.168    2.05    5.304    8.959    2.125    8.876    1.163    2.28    0.706    0.161    this work
CoPt_SG187_0001_2_bridge2-t-1    2.697    2.658    0.76    1.34    9.0    2    -1.274    1.863    5.304    7.881    0.662    7.62    1.259    1.88    1.456    0.15    this work
CoPt_SG187_0001_2_bridge2-t-2    2.697    2.735    1.04    3.9    9.0    2    -2.279    2.192    5.304    8.959    2.125    8.85    1.2    2.28    0.748    0.147    this work
CoPt_SG187_0001_2_fcc-s    2.697    2.717    1.04    3.9    8.333    3    -2.242    2.145    5.304    8.959    2.125    8.858    1.187    2.28    0.734    0.152    this work
CoPt_SG187_0001_2_fcc-t    2.697    2.678    0.76    1.34    9.333    3    -1.292    1.875    5.304    7.881    0.662    7.647    1.272    1.88    1.544    0.146    this work
CoPt_SG187_0001_2_four-fold-s    2.697    2.699    0.9    2.62    8.5    4    -1.748    1.973    5.304    8.42    1.393    8.288    1.23    2.08    1.213    0.15    this work
CoPt_SG187_0001_2_hcp-s    2.697    2.698    1.04    3.9    7.667    3    -2.205    2.097    5.304    8.959    2.125    8.867    1.175    2.28    0.72    0.156    this work
CoPt_SG187_0001_2_hcp-t    2.697    2.699    0.76    1.34    9.667    3    -1.31    1.886    5.304    7.881    0.662    7.674    1.285    1.88    1.632    0.142    this work
CoPt_SG187_0001_2_top-s    2.697    2.68    1.04    3.9    7.0    1    -2.168    2.05    5.304    8.959    2.125    8.876    1.163    2.28    0.706    0.161    this work
CoPt_SG187_0001_2_top-t    2.697    2.658    0.76    1.34    9.0    1    -1.274    1.863    5.304    7.881    0.662    7.62    1.259    1.88    1.456    0.15    this work
CoPt3_SG187_0001_1_bridge1-s    2.778    2.724    1.04    3.9    8.0    2    -2.161    2.088    5.304    8.959    2.125    8.833    1.171    2.28    0.724    0.161    this work
CoPt3_SG187_0001_1_bridge1-t    2.778    2.708    0.76    1.34    9.5    2    -1.366    1.864    5.304    7.881    0.662    7.591    1.272    1.88    1.52    0.14    this work
CoPt3_SG187_0001_1_bridge2-s    2.778    2.696    1.04    3.9    7.0    2    -2.116    2.011    5.304    8.959    2.125    8.841    1.148    2.28    0.689    0.161    this work
CoPt3_SG187_0001_1_bridge2-t-1    2.778    2.677    0.76    1.34    9.0    2    -1.353    1.85    5.304    7.881    0.662    7.584    1.246    1.88    1.47    0.146    this work
CoPt3_SG187_0001_1_bridge2-t-2    2.778    2.751    1.04    3.9    9.0    2    -2.205    2.164    5.304    8.959    2.125    8.825    1.194    2.28    0.758    0.161    this work
CoPt3_SG187_0001_1_fcc-s    2.778    2.733    1.04    3.9    8.333    3    -2.175    2.113    5.304    8.959    2.125    8.831    1.179    2.28    0.735    0.161    this work
CoPt3_SG187_0001_1_fcc-t    2.778    2.698    0.76    1.34    9.333    3    -1.362    1.859    5.304    7.881    0.662    7.589    1.264    1.88    1.504    0.142    this work
CoPt3_SG187_0001_1_four-fold-s    2.778    2.717    0.9    2.62    8.5    4    -1.748    1.944    5.304    8.42    1.393    8.22    1.223    2.08    1.13    0.147    this work
CoPt3_SG187_0001_1_hcp-s    2.778    2.714    1.04    3.9    7.667    3    -2.146    2.062    5.304    8.959    2.125    8.836    1.164    2.28    0.712    0.161    this work
CoPt3_SG187_0001_1_hcp-t    2.778    2.718    0.76    1.34    9.667    3    -1.371    1.868    5.304    7.881    0.662    7.594    1.281    1.88    1.537    0.138    this work
CoPt3_SG187_0001_1_top-s    2.778    2.696    1.04    3.9    7.0    1    -2.116    2.011    5.304    8.959    2.125    8.841    1.148    2.28    0.689    0.161    this work
CoPt3_SG187_0001_1_top-t    2.778    2.677    0.76    1.34    9.0    1    -1.353    1.85    5.304    7.881    0.662    7.584    1.246    1.88    1.47    0.146    this work
CoPt3_SG187_0001_2_bridge1-s    2.778    2.799    1.04    3.9    8.0    2    -1.884    2.04    5.775    8.959    2.125    8.83    1.149    2.28    1.129    0.149    this work
CoPt3_SG187_0001_2_bridge1-t    2.778    2.736    1.04    3.9    9.5    2    -2.422    2.311    5.775    8.959    2.125    8.773    1.245    2.28    0.978    0.121    this work
CoPt3_SG187_0001_2_bridge2-s    2.778    2.783    1.04    3.9    7.0    2    -1.811    1.936    5.775    8.959    2.125    8.874    1.093    2.28    1.101    0.182    this work
CoPt3_SG187_0001_2_bridge2-t-1    2.778    2.72    1.04    3.9    9.0    2    -2.417    2.271    5.775    8.959    2.125    8.77    1.22    2.28    1.045    0.117    this work
CoPt3_SG187_0001_2_bridge2-t-2    2.778    2.814    1.04    3.9    9.0    2    -1.956    2.145    5.775    8.959    2.125    8.785    1.205    2.28    1.156    0.116    this work
CoPt3_SG187_0001_2_fcc-s    2.778    2.804    1.04    3.9    8.333    3    -1.908    2.075    5.775    8.959    2.125    8.815    1.167    2.28    1.138    0.138    this work
CoPt3_SG187_0001_2_fcc-t    2.778    2.731    1.04    3.9    9.333    3    -2.42    2.298    5.775    8.959    2.125    8.772    1.237    2.28    1.001    0.12    this work
CoPt3_SG187_0001_2_four-fold-s    2.778    2.767    1.04    3.9    8.5    4    -2.119    2.143    5.775    8.959    2.125    8.825    1.181    2.28    1.006    0.153    this work
CoPt3_SG187_0001_2_hcp-s    2.778    2.794    1.04    3.9    7.667    3    -1.859    2.005    5.775    8.959    2.125    8.845    1.13    2.28    1.119    0.16    this work
CoPt3_SG187_0001_2_hcp-t    2.778    2.741    1.04    3.9    9.667    3    -2.423    2.324    5.775    8.959    2.125    8.774    1.253    2.28    0.956    0.122    this work
CoPt3_SG187_0001_2_top-s    2.778    2.783    1.04    3.9    7.0    1    -1.811    1.936    5.775    8.959    2.125    8.874    1.093    2.28    1.101    0.182    this work
CoPt3_SG187_0001_2_top-t    2.778    2.72    1.04    3.9    9.0    1    -2.417    2.271    5.775    8.959    2.125    8.77    1.22    2.28    1.045    0.117    this work
CoPt3_SG187_0001_3_bridge1-s    2.778    2.788    1.04    3.9    8.0    2    -1.951    2.05    5.785    8.959    2.125    8.853    1.158    2.28    1.58    0.142    this work
CoPt3_SG187_0001_3_bridge1-t    2.778    2.826    1.04    3.9    9.5    2    -2.069    2.153    5.785    8.959    2.125    8.785    1.227    2.28    1.139    0.113    this work
CoPt3_SG187_0001_3_bridge2-s    2.778    2.765    1.04    3.9    7.0    2    -1.915    1.959    5.785    8.959    2.125    8.877    1.108    2.28    1.635    0.16    this work
CoPt3_SG187_0001_3_bridge2-t-1    2.778    2.808    1.04    3.9    9.0    2    -2.02    2.123    5.785    8.959    2.125    8.781    1.21    2.28    1.083    0.117    this work
CoPt3_SG187_0001_3_bridge2-t-2    2.778    2.811    1.04    3.9    9.0    2    -1.987    2.14    5.785    8.959    2.125    8.828    1.209    2.28    1.525    0.125    this work
CoPt3_SG187_0001_3_fcc-s    2.778    2.796    1.04    3.9    8.333    3    -1.963    2.08    5.785    8.959    2.125    8.845    1.175    2.28    1.561    0.137    this work
CoPt3_SG187_0001_3_fcc-t    2.778    2.82    1.04    3.9    9.333    3    -2.052    2.143    5.785    8.959    2.125    8.784    1.222    2.28    1.12    0.114    this work
CoPt3_SG187_0001_3_four-fold-s    2.778    2.804    1.04    3.9    8.5    4    -2.016    2.071    5.785    8.959    2.125    8.833    1.176    2.28    1.415    0.134    this work
CoPt3_SG187_0001_3_hcp-s    2.778    2.78    1.04    3.9    7.667    3    -1.939    2.02    5.785    8.959    2.125    8.861    1.142    2.28    1.598    0.148    this work
CoPt3_SG187_0001_3_hcp-t    2.778    2.832    1.04    3.9    9.667    3    -2.085    2.163    5.785    8.959    2.125    8.787    1.233    2.28    1.157    0.111    this work
CoPt3_SG187_0001_3_top-s    2.778    2.765    1.04    3.9    7.0    1    -1.915    1.959    5.785    8.959    2.125    8.877    1.108    2.28    1.635    0.16    this work
CoPt3_SG187_0001_3_top-t    2.778    2.808    1.04    3.9    9.0    1    -2.02    2.123    5.785    8.959    2.125    8.781    1.21    2.28    1.083    0.117    this work
CoPt3_SG187_0001_4_bridge1-s    2.778    2.603    0.76    1.34    8.0    2    -1.409    1.873    5.268    7.881    0.662    7.663    1.247    1.88    1.034    0.152    this work
CoPt3_SG187_0001_4_bridge1-t    2.778    2.832    1.04    3.9    9.5    2    -2.009    2.094    5.268    8.959    2.125    8.861    1.227    2.28    1.286    0.125    this work
CoPt3_SG187_0001_4_bridge2-s    2.778    2.617    0.76    1.34    7.0    2    -1.339    1.794    5.268    7.881    0.662    7.658    1.147    1.88    1.258    0.164    this work
CoPt3_SG187_0001_4_bridge2-t-1    2.778    2.807    1.04    3.9    9.0    2    -2.052    2.088    5.268    8.959    2.125    8.852    1.225    2.28    1.477    0.134    this work
CoPt3_SG187_0001_4_bridge2-t-2    2.778    2.589    0.76    1.34    9.0    2    -1.48    1.953    5.268    7.881    0.662    7.668    1.347    1.88    0.81    0.14    this work
CoPt3_SG187_0001_4_fcc-s    2.778    2.598    0.76    1.34    8.333    3    -1.433    1.9    5.268    7.881    0.662    7.665    1.28    1.88    0.959    0.148    this work
CoPt3_SG187_0001_4_fcc-t    2.778    2.824    1.04    3.9    9.333    3    -2.023    2.092    5.268    8.959    2.125    8.858    1.226    2.28    1.349    0.128    this work
CoPt3_SG187_0001_4_four-fold-s    2.778    2.737    0.9    2.62    8.5    4    -1.653    1.947    5.268    8.42    1.393    8.264    1.188    2.08    1.177    0.139    this work
CoPt3_SG187_0001_4_hcp-s    2.778    2.607    0.76    1.34    7.667    3    -1.386    1.847    5.268    7.881    0.662    7.661    1.214    1.88    1.109    0.156    this work
CoPt3_SG187_0001_4_hcp-t    2.778    2.841    1.04    3.9    9.667    3    -1.995    2.096    5.268    8.959    2.125    8.864    1.227    2.28    1.222    0.121    this work
CoPt3_SG187_0001_4_top-s    2.778    2.617    0.76    1.34    7.0    1    -1.339    1.794    5.268    7.881    0.662    7.658    1.147    1.88    1.258    0.164    this work
CoPt3_SG187_0001_4_top-t    2.778    2.807    1.04    3.9    9.0    1    -2.052    2.088    5.268    8.959    2.125    8.852    1.225    2.28    1.477    0.134    this work
Cu3Pd_SG187_0001_1_bridge1-s    2.672    2.643    0.67    1.0    8.0    2    -1.988    0.931    5.098    7.726    1.236    9.931    1.154    1.9    0.095    0.227    this work
Cu3Pd_SG187_0001_1_bridge1-t    2.672    2.696    0.94    2.78    9.5    2    -1.97    1.685    5.098    8.337    0.562    9.289    0.828    2.2    0.735    0.098    this work
Cu3Pd_SG187_0001_1_bridge2-s    2.672    2.641    0.67    1.0    7.0    2    -1.898    0.884    5.098    7.726    1.236    9.961    1.081    1.9    0.095    0.233    this work
Cu3Pd_SG187_0001_1_bridge2-t-1    2.672    2.683    0.94    2.78    9.0    2    -1.953    1.643    5.098    8.337    0.562    9.273    0.803    2.2    0.772    0.098    this work
Cu3Pd_SG187_0001_1_bridge2-t-2    2.672    2.645    0.67    1.0    9.0    2    -2.079    0.979    5.098    7.726    1.236    9.901    1.227    1.9    0.095    0.222    this work
Cu3Pd_SG187_0001_1_fcc-s    2.672    2.644    0.67    1.0    8.333    3    -2.019    0.947    5.098    7.726    1.236    9.921    1.178    1.9    0.095    0.226    this work
Cu3Pd_SG187_0001_1_fcc-t    2.672    2.692    0.94    2.78    9.333    3    -1.965    1.671    5.098    8.337    0.562    9.284    0.82    2.2    0.747    0.098    this work
Cu3Pd_SG187_0001_1_four-fold-s    2.672    2.675    0.805    1.89    8.5    4    -1.943    1.305    5.098    8.031    0.899    9.633    0.967    2.05    0.396    0.166    this work
Cu3Pd_SG187_0001_1_hcp-s    2.672    2.642    0.67    1.0    7.667    3    -1.958    0.915    5.098    7.726    1.236    9.941    1.13    1.9    0.095    0.229    this work
Cu3Pd_SG187_0001_1_hcp-t    2.672    2.701    0.94    2.78    9.667    3    -1.976    1.699    5.098    8.337    0.562    9.294    0.837    2.2    0.722    0.099    this work
Cu3Pd_SG187_0001_1_top-s    2.672    2.641    0.67    1.0    7.0    1    -1.898    0.884    5.098    7.726    1.236    9.961    1.081    1.9    0.095    0.233    this work
Cu3Pd_SG187_0001_1_top-t    2.672    2.683    0.94    2.78    9.0    1    -1.953    1.643    5.098    8.337    0.562    9.273    0.803    2.2    0.772    0.098    this work
Cu3Pd_SG187_0001_2_bridge1-s    2.672    2.594    0.67    1.0    8.0    2    -2.31    0.929    4.728    7.726    1.236    9.769    1.18    1.9    0.083    0.282    this work
Cu3Pd_SG187_0001_2_bridge1-t    2.672    2.694    0.67    1.0    9.5    2    -2.066    0.938    4.728    7.726    1.236    9.805    1.182    1.9    0.089    0.208    this work
Cu3Pd_SG187_0001_2_bridge2-s    2.672    2.584    0.67    1.0    7.0    2    -2.224    0.899    4.728    7.726    1.236    9.811    1.113    1.9    0.081    0.292    this work
Cu3Pd_SG187_0001_2_bridge2-t-1    2.672    2.69    0.67    1.0    9.0    2    -2.007    0.922    4.728    7.726    1.236    9.816    1.155    1.9    0.094    0.206    this work
Cu3Pd_SG187_0001_2_bridge2-t-2    2.672    2.605    0.67    1.0    9.0    2    -2.395    0.958    4.728    7.726    1.236    9.727    1.248    1.9    0.085    0.272    this work
Cu3Pd_SG187_0001_2_fcc-s    2.672    2.598    0.67    1.0    8.333    3    -2.338    0.938    4.728    7.726    1.236    9.755    1.203    1.9    0.084    0.278    this work
Cu3Pd_SG187_0001_2_fcc-t    2.672    2.693    0.67    1.0    9.333    3    -2.046    0.933    4.728    7.726    1.236    9.809    1.173    1.9    0.091    0.208    this work
Cu3Pd_SG187_0001_2_four-fold-s    2.672    2.641    0.67    1.0    8.5    4    -2.174    0.927    4.728    7.726    1.236    9.803    1.161    1.9    0.083    0.251    this work
Cu3Pd_SG187_0001_2_hcp-s    2.672    2.591    0.67    1.0    7.667    3    -2.281    0.919    4.728    7.726    1.236    9.783    1.158    1.9    0.082    0.285    this work
Cu3Pd_SG187_0001_2_hcp-t    2.672    2.695    0.67    1.0    9.667    3    -2.085    0.943    4.728    7.726    1.236    9.801    1.192    1.9    0.087    0.209    this work
Cu3Pd_SG187_0001_2_top-s    2.672    2.584    0.67    1.0    7.0    1    -2.224    0.899    4.728    7.726    1.236    9.811    1.113    1.9    0.081    0.292    this work
Cu3Pd_SG187_0001_2_top-t    2.672    2.69    0.67    1.0    9.0    1    -2.007    0.922    4.728    7.726    1.236    9.816    1.155    1.9    0.094    0.206    this work
Cu3Pd_SG187_0001_3_bridge1-s    2.672    2.594    0.67    1.0    8.0    2    -2.301    0.931    4.685    7.726    1.236    9.785    1.19    1.9    0.091    0.279    this work
Cu3Pd_SG187_0001_3_bridge1-t    2.672    2.65    0.67    1.0    9.5    2    -2.343    0.985    4.685    7.726    1.236    9.782    1.221    1.9    0.088    0.252    this work
Cu3Pd_SG187_0001_3_bridge2-s    2.672    2.585    0.67    1.0    7.0    2    -2.226    0.898    4.685    7.726    1.236    9.802    1.127    1.9    0.091    0.29    this work
Cu3Pd_SG187_0001_3_bridge2-t-1    2.672    2.644    0.67    1.0    9.0    2    -2.332    0.916    4.685    7.726    1.236    9.858    1.193    1.9    0.09    0.25    this work
Cu3Pd_SG187_0001_3_bridge2-t-2    2.672    2.603    0.67    1.0    9.0    2    -2.376    0.965    4.685    7.726    1.236    9.769    1.253    1.9    0.092    0.267    this work
Cu3Pd_SG187_0001_3_fcc-s    2.672    2.597    0.67    1.0    8.333    3    -2.326    0.942    4.685    7.726    1.236    9.78    1.211    1.9    0.092    0.275    this work
Cu3Pd_SG187_0001_3_fcc-t    2.672    2.648    0.67    1.0    9.333    3    -2.339    0.962    4.685    7.726    1.236    9.807    1.212    1.9    0.089    0.251    this work
Cu3Pd_SG187_0001_3_four-fold-s    2.672    2.62    0.67    1.0    8.5    4    -2.29    0.976    4.685    7.726    1.236    9.754    1.188    1.9    0.089    0.272    this work
Cu3Pd_SG187_0001_3_hcp-s    2.672    2.591    0.67    1.0    7.667    3    -2.276    0.92    4.685    7.726    1.236    9.791    1.169    1.9    0.091    0.283    this work
Cu3Pd_SG187_0001_3_hcp-t    2.672    2.652    0.67    1.0    9.667    3    -2.346    1.008    4.685    7.726    1.236    9.756    1.231    1.9    0.088    0.252    this work
Cu3Pd_SG187_0001_3_top-s    2.672    2.585    0.67    1.0    7.0    1    -2.226    0.898    4.685    7.726    1.236    9.802    1.127    1.9    0.091    0.29    this work
Cu3Pd_SG187_0001_3_top-t    2.672    2.644    0.67    1.0    9.0    1    -2.332    0.916    4.685    7.726    1.236    9.858    1.193    1.9    0.09    0.25    this work
Cu3Pd_SG187_0001_4_bridge1-s    2.672    2.709    0.94    2.78    8.0    2    -1.65    1.52    5.098    8.337    0.562    9.221    0.744    2.2    0.909    0.132    this work
Cu3Pd_SG187_0001_4_bridge1-t    2.672    2.642    0.67    1.0    9.5    2    -2.263    0.98    5.098    7.726    1.236    9.65    1.207    1.9    0.115    0.228    this work
