Samples    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
AgPd3_SG187_0001_1_top-t    2.852    2.845    0.94    2.78    9.0    1    -1.511    1.334    5.241    8.337    0.562    9.21    0.799    2.2    1.096    0.113    this work
AgPd3_SG187_0001_2_bridge1-s    2.852    2.801    0.94    2.78    8.0    2    -1.528    1.299    5.256    8.337    0.562    9.377    0.741    2.2    2.206    0.134    this work
AgPd3_SG187_0001_2_bridge1-t    2.852    2.834    0.94    2.78    9.5    2    -1.605    1.366    5.256    8.337    0.562    9.38    0.796    2.2    2.078    0.126    this work
AgPd3_SG187_0001_2_bridge2-s    2.852    2.792    0.94    2.78    7.0    2    -1.485    1.23    5.256    8.337    0.562    9.382    0.69    2.2    2.245    0.144    this work
AgPd3_SG187_0001_2_bridge2-t-1    2.852    2.828    0.94    2.78    9.0    2    -1.557    1.338    5.256    8.337    0.562    9.444    0.769    2.2    2.08    0.139    this work
AgPd3_SG187_0001_2_bridge2-t-2    2.852    2.811    0.94    2.78    9.0    2    -1.572    1.369    5.256    8.337    0.562    9.373    0.792    2.2    2.167    0.123    this work
AgPd3_SG187_0001_2_fcc-s    2.852    2.805    0.94    2.78    8.333    3    -1.543    1.323    5.256    8.337    0.562    9.376    0.758    2.2    2.193    0.13    this work
AgPd3_SG187_0001_2_fcc-t    2.852    2.832    0.94    2.78    9.333    3    -1.589    1.357    5.256    8.337    0.562    9.401    0.787    2.2    2.079    0.13    this work
AgPd3_SG187_0001_2_four-fold-s    2.852    2.816    0.94    2.78    8.5    4    -1.569    1.313    5.256    8.337    0.562    9.349    0.757    2.2    2.16    0.129    this work
AgPd3_SG187_0001_2_hcp-s    2.852    2.798    0.94    2.78    7.667    3    -1.514    1.276    5.256    8.337    0.562    9.379    0.724    2.2    2.219    0.137    this work
AgPd3_SG187_0001_2_hcp-t    2.852    2.836    0.94    2.78    9.667    3    -1.622    1.376    5.256    8.337    0.562    9.358    0.805    2.2    2.078    0.122    this work
AgPd3_SG187_0001_2_top-s    2.852    2.792    0.94    2.78    7.0    1    -1.485    1.23    5.256    8.337    0.562    9.382    0.69    2.2    2.245    0.144    this work
AgPd3_SG187_0001_2_top-t    2.852    2.828    0.94    2.78    9.0    1    -1.557    1.338    5.256    8.337    0.562    9.444    0.769    2.2    2.08    0.139    this work
AgPd3_SG187_0001_3_bridge1-s    2.852    2.892    0.89    2.26    8.0    2    -3.735    1.061    5.124    7.576    1.304    9.936    1.006    1.93    0.037    0.228    this work
AgPd3_SG187_0001_3_bridge1-t    2.852    2.829    0.94    2.78    9.5    2    -1.609    1.379    5.124    8.337    0.562    9.291    0.818    2.2    1.917    0.114    this work
AgPd3_SG187_0001_3_bridge2-s    2.852    2.876    0.89    2.26    7.0    2    -3.672    1.024    5.124    7.576    1.304    9.939    0.938    1.93    0.039    0.227    this work
AgPd3_SG187_0001_3_bridge2-t-1    2.852    2.822    0.94    2.78    9.0    2    -1.583    1.347    5.124    8.337    0.562    9.305    0.778    2.2    2.065    0.122    this work
AgPd3_SG187_0001_3_bridge2-t-2    2.852    2.908    0.89    2.26    9.0    2    -3.799    1.098    5.124    7.576    1.304    9.933    1.074    1.93    0.036    0.229    this work
AgPd3_SG187_0001_3_fcc-s    2.852    2.897    0.89    2.26    8.333    3    -3.757    1.073    5.124    7.576    1.304    9.935    1.028    1.93    0.037    0.228    this work
AgPd3_SG187_0001_3_fcc-t    2.852    2.826    0.94    2.78    9.333    3    -1.601    1.368    5.124    8.337    0.562    9.295    0.804    2.2    1.966    0.117    this work
AgPd3_SG187_0001_3_four-fold-s    2.852    2.856    0.915    2.52    8.5    4    -2.653    1.217    5.124    7.957    0.933    9.607    0.898    2.065    0.904    0.166    this work
AgPd3_SG187_0001_3_hcp-s    2.852    2.887    0.89    2.26    7.667    3    -3.714    1.049    5.124    7.576    1.304    9.937    0.983    1.93    0.038    0.227    this work
AgPd3_SG187_0001_3_hcp-t    2.852    2.831    0.94    2.78    9.667    3    -1.618    1.389    5.124    8.337    0.562    9.286    0.831    2.2    1.868    0.111    this work
AgPd3_SG187_0001_3_top-s    2.852    2.876    0.89    2.26    7.0    1    -3.672    1.024    5.124    7.576    1.304    9.939    0.938    1.93    0.039    0.227    this work
AgPd3_SG187_0001_3_top-t    2.852    2.822    0.94    2.78    9.0    1    -1.583    1.347    5.124    8.337    0.562    9.305    0.778    2.2    2.065    0.122    this work
AgPd3_SG187_0001_4_bridge1-s    2.852    2.82    0.94    2.78    8.0    2    -1.452    1.315    5.126    8.337    0.562    9.287    0.768    2.2    1.029    0.126    this work
AgPd3_SG187_0001_4_bridge1-t    2.852    2.864    0.89    2.26    9.5    2    -3.831    1.213    5.126    7.576    1.304    9.797    1.058    1.93    0.043    0.199    this work
AgPd3_SG187_0001_4_bridge2-s    2.852    2.825    0.94    2.78    7.0    2    -1.355    1.242    5.126    8.337    0.562    9.322    0.711    2.2    1.052    0.149    this work
AgPd3_SG187_0001_4_bridge2-t-1    2.852    2.855    0.89    2.26    9.0    2    -3.869    1.183    5.126    7.576    1.304    9.786    1.046    1.93    0.036    0.221    this work
AgPd3_SG187_0001_4_bridge2-t-2    2.852    2.815    0.94    2.78    9.0    2    -1.549    1.389    5.126    8.337    0.562    9.253    0.826    2.2    1.006    0.103    this work
AgPd3_SG187_0001_4_fcc-s    2.852    2.819    0.94    2.78    8.333    3    -1.484    1.34    5.126    8.337    0.562    9.276    0.787    2.2    1.022    0.119    this work
AgPd3_SG187_0001_4_fcc-t    2.852    2.861    0.89    2.26    9.333    3    -3.844    1.203    5.126    7.576    1.304    9.794    1.054    1.93    0.041    0.206    this work
AgPd3_SG187_0001_4_four-fold-s    2.852    2.849    0.915    2.52    8.5    4    -2.574    1.243    5.126    7.957    0.933    9.565    0.891    2.065    0.551    0.163    this work
AgPd3_SG187_0001_4_hcp-s    2.852    2.822    0.94    2.78    7.667    3    -1.419    1.291    5.126    8.337    0.562    9.299    0.749    2.2    1.037    0.134    this work
AgPd3_SG187_0001_4_hcp-t    2.852    2.868    0.89    2.26    9.667    3    -3.819    1.224    5.126    7.576    1.304    9.801    1.062    1.93    0.046    0.191    this work
AgPd3_SG187_0001_4_top-s    2.852    2.825    0.94    2.78    7.0    1    -1.355    1.242    5.126    8.337    0.562    9.322    0.711    2.2    1.052    0.149    this work
AgPd3_SG187_0001_4_top-t    2.852    2.855    0.89    2.26    9.0    1    -3.869    1.183    5.126    7.576    1.304    9.786    1.046    1.93    0.036    0.221    this work
AgPd7_SG225_211_1_bridge1-s-1    2.832    2.815    0.94    2.78    8.0    2    -1.513    1.279    5.165    8.337    0.562    9.281    0.723    2.2    1.942    0.14    this work
AgPd7_SG225_211_1_bridge1-s-2    2.832    2.811    0.94    2.78    8.0    2    -1.521    1.285    5.165    8.337    0.562    9.286    0.729    2.2    1.898    0.141    this work
