Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
C_Au@Ni_211_hcp-t-1    2.324    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    5.04    7.64    1.157    8.689    1.283    1.91    1.907    0.137    10.1021/acscatal.8b04478
C_Au@Ni_211_hcp-t-2    2.251    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    5.04    7.64    1.157    8.709    1.284    1.91    1.915    0.134    10.1021/acscatal.8b04478
C_Co_0001_fcc-s    2.415    2.504    2.472    0.76    1.34    8.333    3    -1.198    1.977    4.819    7.881    0.662    7.696    1.229    1.88    1.103    0.212    this work
C_Co_0001_fcc-t    2.51    2.504    2.492    0.76    1.34    9.333    3    -1.211    2.051    4.819    7.881    0.662    7.73    1.25    1.88    1.029    0.156    this work
C_Co_0001_four-fold-s    1.489    2.504    2.484    0.76    1.34    8.5    4    -1.223    1.992    4.819    7.881    0.662    7.68    1.217    1.88    1.065    0.189    this work
C_Co_0001_hcp-s    2.116    2.504    2.468    0.76    1.34    7.667    3    -1.205    1.929    4.819    7.881    0.662    7.672    1.181    1.88    1.109    0.225    this work
C_Co_0001_top-s    3.938    2.504    2.464    0.76    1.34    7.0    1    -1.211    1.88    4.819    7.881    0.662    7.654    1.133    1.88    1.116    0.239    this work
C_Co_211_bridge3-s    3.182    2.509    2.488    0.76    1.34    8.5    2    -1.274    1.99    4.828    7.881    0.662    7.677    1.227    1.88    1.118    0.188    this work
C_Co_211_fcc-s    2.594    2.509    2.478    0.76    1.34    8.333    3    -1.245    2.002    4.828    7.881    0.662    7.662    1.219    1.88    1.043    0.184    this work
C_Co_211_four-fold-s    1.517    2.509    2.488    0.76    1.34    8.5    4    -1.272    1.99    4.828    7.881    0.662    7.672    1.227    1.88    1.117    0.188    this work
C_Co_211_hcp-s    2.144    2.509    2.473    0.76    1.34    7.667    3    -1.251    1.936    4.828    7.881    0.662    7.677    1.181    1.88    1.134    0.213    this work
C_Co_211_hcp-t    2.399    2.509    2.492    0.76    1.34    9.333    3    -1.256    2.082    4.828    7.881    0.662    7.653    1.276    1.88    0.971    0.148    this work
C_Co_211_top-s    3.917    2.509    2.468    0.76    1.34    7.0    1    -1.254    1.871    4.828    7.881    0.662    7.68    1.142    1.88    1.224    0.242    this work
C_Cu_211_fcc-s    4.19    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    10.1021/acscatal.8b04478
C_Cu_211_four-fold-s    3.321    2.603    2.577    0.67    1.0    8.5    4    -2.372    1.044    4.719    7.726    1.236    9.714    1.208    1.9    0.097    0.244    10.1021/acscatal.8b04478
C_Cu_211_hcp-s    4.112    2.603    2.564    0.67    1.0    7.667    3    -2.319    1.009    4.719    7.726    1.236    9.708    1.166    1.9    0.095    0.256    10.1021/acscatal.8b04478
C_Cu_211_hcp-t    4.29    2.603    2.587    0.67    1.0    9.333    3    -2.415    1.122    4.719    7.726    1.236    9.687    1.255    1.9    0.105    0.234    10.1021/acscatal.8b04478
C_Fe_210_bridge3-s    2.747    2.476    2.476    0.8    1.59    5.0    2    -0.695    2.361    4.43    7.902    0.153    6.638    1.26    1.83    0.752    0.245    this work
C_Fe_210_fcc-s    1.366    2.476    2.478    0.8    1.59    5.333    3    -0.67    2.37    4.43    7.902    0.153    6.64    1.273    1.83    0.701    0.272    this work
C_Fe_210_four-fold-s    0.934    2.476    2.476    0.8    1.59    5.0    4    -0.695    2.36    4.43    7.902    0.153    6.638    1.26    1.83    0.752    0.245    this work
C_Fe_210_hcp-s    1.76    2.476    2.465    0.8    1.59    4.667    3    -0.737    2.33    4.43    7.902    0.153    6.631    1.229    1.83    0.755    0.266    this work
C_Fe_210_hcp-t    1.366    2.476    2.495    0.8    1.59    6.0    3    -0.598    2.418    4.43    7.902    0.153    6.65    1.323    1.83    0.663    0.261    this work
C_Ir_211_bridge2-s    1.776    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    10.1021/acscatal.8b04478
C_Ir_211_fcc-s    2.282    2.753    2.709    1.08    4.45    8.333    3    -1.919    2.605    5.489    9.121    1.564    7.721    1.278    2.2    1.354    0.167    10.1021/acscatal.8b04478
C_Ir_211_fcc-t    2.189    2.753    2.741    1.08    4.45    9.667    3    -2.0    2.712    5.489    9.121    1.564    7.699    1.323    2.2    1.311    0.106    10.1021/acscatal.8b04478
C_Ir_211_four-fold-s    1.608    2.753    2.727    1.08    4.45    8.5    4    -1.846    2.584    5.489    9.121    1.564    7.753    1.272    2.2    1.436    0.178    10.1021/acscatal.8b04478
C_Ir_211_hcp-s    1.46    2.753    2.704    1.08    4.45    7.667    3    -1.813    2.522    5.489    9.121    1.564    7.761    1.246    2.2    1.446    0.213    10.1021/acscatal.8b04478
C_Ir_211_hcp-t    2.021    2.753    2.728    1.08    4.45    9.333    3    -2.013    2.697    5.489    9.121    1.564    7.69    1.316    2.2    1.287    0.114    10.1021/acscatal.8b04478
C_IrRu_211_bridge2-s-1    2.043    2.737    2.689    1.065    4.16    7.0    2    -1.446    2.214    5.53    8.241    1.305    7.398    1.005    2.2    1.807    0.322    10.1021/acscatal.8b04478
C_IrRu_211_fcc-s-1    2.367    2.737    2.698    1.07    4.257    8.333    3    -1.694    2.404    5.53    8.534    1.391    7.456    1.118    2.2    1.556    0.229    10.1021/acscatal.8b04478
C_IrRu_211_fcc-s-2    2.358    2.737    2.701    1.06    4.063    8.333    3    -1.531    2.352    5.53    7.948    1.219    7.234    1.027    2.2    1.702    0.184    10.1021/acscatal.8b04478
C_IrRu_211_fcc-t-1    2.139    2.737    2.725    1.07    4.257    9.667    3    -1.777    2.517    5.53    8.534    1.391    7.43    1.177    2.2    1.283    0.134    10.1021/acscatal.8b04478
C_IrRu_211_four-fold-s-1    1.345    2.737    2.712    1.065    4.16    8.5    4    -1.568    2.356    5.53    8.241    1.305    7.367    1.073    2.2    1.537    0.219    10.1021/acscatal.8b04478
C_IrRu_211_four-fold-s-2    1.339    2.737    2.712    1.065    4.16    8.5    4    -1.568    2.356    5.53    8.241    1.305    7.367    1.073    2.2    1.537    0.219    10.1021/acscatal.8b04478
