Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)    Reference
CH_PtRh_211_fcc-t-1    1.113    2.783    2.779    1.007    3.513    9.667    3    -1.69    2.284    5.395    7.959    1.47    8.177    1.208    2.28    2.017    0.114    10.1021/acscatal.8b04478
CH_PtRh_211_fcc-t-2    1.423    2.783    2.785    1.023    3.707    9.667    3    -1.955    2.239    5.395    8.459    1.798    8.442    1.177    2.28    1.687    0.11    10.1021/acscatal.8b04478
CH_PtRh_211_four-fold-s-1    1.174    2.783    2.766    1.015    3.61    8.5    4    -1.723    2.128    5.395    8.209    1.634    8.36    1.135    2.28    1.817    0.156    10.1021/acscatal.8b04478
CH_PtRh_211_four-fold-s-2    1.313    2.783    2.766    1.015    3.61    8.5    4    -1.723    2.128    5.395    8.209    1.634    8.36    1.135    2.28    1.817    0.156    10.1021/acscatal.8b04478
CH_PtRh_211_hcp-s-1    0.982    2.783    2.744    1.007    3.513    7.667    3    -1.549    2.078    5.395    7.959    1.47    8.258    1.115    2.28    2.082    0.188    10.1021/acscatal.8b04478
CH_PtRh_211_hcp-s-2    1.078    2.783    2.749    1.023    3.707    7.667    3    -1.814    2.034    5.395    8.459    1.798    8.523    1.083    2.28    1.752    0.184    10.1021/acscatal.8b04478
CH_PtRh_211_hcp-t-1    1.029    2.783    2.77    1.007    3.513    9.333    3    -1.666    2.268    5.395    7.959    1.47    8.19    1.2    2.28    2.076    0.126    10.1021/acscatal.8b04478
CH_PtRh_211_hcp-t-2    1.288    2.783    2.773    1.023    3.707    9.333    3    -1.966    2.213    5.395    8.459    1.798    8.449    1.158    2.28    1.796    0.119    10.1021/acscatal.8b04478
CH_Rh_211_bridge2-s    1.419    2.734    2.694    0.99    3.32    7.0    2    -1.293    2.099    5.078    7.459    1.143    7.969    0.987    2.28    2.07    0.24    10.1021/acscatal.8b04478
CH_Rh_211_fcc-s    1.198    2.734    2.703    0.99    3.32    8.333    3    -1.426    2.27    5.078    7.459    1.143    7.906    1.063    2.28    1.918    0.171    10.1021/acscatal.8b04478
CH_Rh_211_fcc-t    1.132    2.734    2.725    0.99    3.32    9.667    3    -1.496    2.419    5.078    7.459    1.143    7.858    1.13    2.28    1.796    0.116    10.1021/acscatal.8b04478
CH_Rh_211_four-fold-s    0.967    2.734    2.714    0.99    3.32    8.5    4    -1.395    2.276    5.078    7.459    1.143    7.91    1.066    2.28    1.921    0.173    10.1021/acscatal.8b04478
CH_Rh_211_hcp-s    0.9    2.734    2.698    0.99    3.32    7.667    3    -1.359    2.184    5.078    7.459    1.143    7.937    1.025    2.28    1.994    0.206    10.1021/acscatal.8b04478
CH_Rh_211_hcp-t    1.01    2.734    2.716    0.99    3.32    9.333    3    -1.494    2.387    5.078    7.459    1.143    7.865    1.115    2.28    1.819    0.127    10.1021/acscatal.8b04478
CH_Ru_211_bridge2-s    1.402    2.732    2.683    1.05    3.87    7.0    2    -1.158    1.939    4.889    7.361    1.046    7.152    0.809    2.2    1.745    0.269    10.1021/acscatal.8b04478
CH_Ru_211_fcc-s    1.313    2.732    2.692    1.05    3.87    8.333    3    -1.296    2.07    4.889    7.361    1.046    7.095    0.871    2.2    1.457    0.185    10.1021/acscatal.8b04478
CH_Ru_211_fcc-t    1.038    2.732    2.715    1.05    3.87    9.667    3    -1.354    2.173    4.889    7.361    1.046    7.072    0.932    2.2    1.343    0.13    10.1021/acscatal.8b04478
CH_Ru_211_four-fold-s    0.703    2.732    2.703    1.05    3.87    8.5    4    -1.253    2.065    4.889    7.361    1.046    7.114    0.878    2.2    1.552    0.196    10.1021/acscatal.8b04478
CH_Ru_211_hcp-s    0.751    2.732    2.687    1.05    3.87    7.667    3    -1.227    2.004    4.889    7.361    1.046    7.123    0.84    2.2    1.601    0.227    10.1021/acscatal.8b04478
CH_Ru_211_hcp-t    0.812    2.732    2.706    1.05    3.87    9.333    3    -1.359    2.154    4.889    7.361    1.046    7.068    0.917    2.2    1.328    0.137    10.1021/acscatal.8b04478
CH2_Ag_211_bridge1-s    3.053    2.985    2.959    0.89    2.26    8.0    2    -4.02    1.028    4.427    7.576    1.304    9.847    1.1    1.93    0.035    0.286    this work
CH2_Ag_211_bridge2-s    2.818    2.985    2.946    0.89    2.26    7.0    2    -4.008    0.934    4.427    7.576    1.304    9.856    1.051    1.93    0.031    0.29    this work
CH2_Ag_211_bridge2-t    3.02    2.985    2.972    0.89    2.26    9.0    2    -4.033    1.122    4.427    7.576    1.304    9.843    1.148    1.93    0.04    0.281    this work
CH2_Ag_211_bridge3-s    2.891    2.985    2.965    0.89    2.26    8.5    2    -4.043    1.034    4.427    7.576    1.304    9.843    1.128    1.93    0.037    0.276    this work
CH2_Ag_211_fcc-s    3.098    2.985    2.963    0.89    2.26    8.333    3    -4.024    1.059    4.427    7.576    1.304    9.85    1.116    1.93    0.037    0.284    this work
CH2_Ag_211_fcc-t    3.097    2.985    2.98    0.89    2.26    9.667    3    -4.062    1.129    4.427    7.576    1.304    9.842    1.186    1.93    0.041    0.268    this work
CH2_Ag_211_hcp-s    3.117    2.985    2.955    0.89    2.26    7.667    3    -4.016    0.996    4.427    7.576    1.304    9.853    1.084    1.93    0.034    0.287    this work
CH2_Ag_211_top-s    3.485    2.985    2.946    0.89    2.26    7.0    1    -4.008    0.934    4.427    7.576    1.304    9.865    1.051    1.93    0.031    0.29    this work
CH2_Ag_211_top-t    3.571    2.985    2.972    0.89    2.26    9.0    1    -4.033    1.122    4.427    7.576    1.304    9.837    1.148    1.93    0.04    0.281    this work
CH2_Ag@Cu_211_bridge2-s-1    2.3    2.603    2.642    0.78    1.63    7.0    2    -3.229    1.054    4.685    7.651    1.27    9.791    1.03    1.915    0.066    0.274    this work
CH2_Ag@Cu_211_bridge2-s-2    1.944    2.603    2.552    0.67    1.0    7.0    2    -2.316    0.977    4.685    7.726    1.236    9.796    1.173    1.9    0.089    0.29    this work
CH2_Ag@Cu_211_bridge2-t-1    2.428    2.603    2.603    0.67    1.0    9.0    2    -2.399    1.02    4.685    7.726    1.236    9.719    1.248    1.9    0.104    0.253    this work
CH2_Ag@Cu_211_bridge3-s-2    2.163    2.603    2.575    0.67    1.0    8.5    2    -2.394    1.056    4.685    7.726    1.236    9.764    1.23    1.9    0.097    0.257    this work
CH2_Ag@Cu_211_fcc-s-1    2.557    2.603    2.646    0.743    1.42    8.333    3    -2.98    1.057    4.685    7.676    1.259    9.741    1.128    1.91    0.084    0.255    this work
CH2_Ag@Cu_211_fcc-s-2    2.205    2.603    2.576    0.67    1.0    8.333    3    -2.375    1.035    4.685    7.726    1.236    9.756    1.219    1.9    0.099    0.262    this work
CH2_Ag@Cu_211_fcc-t-1    2.409    2.603    2.6    0.67    1.0    9.667    3    -2.453    1.099    4.685    7.726    1.236    9.733    1.285    1.9    0.104    0.235    this work
CH2_Ag@Cu_211_fcc-t-2    2.623    2.603    2.589    0.67    1.0    9.667    3    -2.452    1.126    4.685    7.726    1.236    9.739    1.269    1.9    0.106    0.23    this work
CH2_Ag@Cu_211_four-fold-s-2    2.258    2.603    2.575    0.67    1.0    8.5    4    -2.394    1.056    4.685    7.726    1.236    9.764    1.23    1.9    0.097    0.257    this work
CH2_Ag@Cu_211_hcp-s-2    2.193    2.603    2.559    0.67    1.0    7.667    3    -2.348    1.021    4.685    7.726    1.236    9.782    1.194    1.9    0.094    0.274    this work
CH2_Ag@Cu_211_hcp-t-1    2.224    2.603    2.602    0.67    1.0    9.333    3    -2.429    1.061    4.685    7.726    1.236    9.728    1.272    1.9    0.104    0.245    this work
CH2_Ag@Cu_211_top-s-1    3.484    2.603    2.732    0.89    2.26    7.0    1    -4.141    1.131    4.685    7.576    1.304    9.785    0.887    1.93    0.043    0.259    this work
CH2_Ag@Cu_211_top-s-2    2.296    2.603    2.552    0.67    1.0    7.0    1    -2.316    0.977    4.685    7.726    1.236    9.796    1.173    1.9    0.089    0.29    this work
CH2_Ag@Cu_211_top-t-1    2.89    2.603    2.603    0.67    1.0    9.0    1    -2.399    1.02    4.685    7.726    1.236    9.719    1.248    1.9    0.104    0.253    this work
CH2_Ag@Cu_211_top-t-2    2.922    2.603    2.573    0.67    1.0    9.0    1    -2.411    1.108    4.685    7.726    1.236    9.752    1.236    1.9    0.106    0.243    this work
CH2_AgAu_211_bridge1-s-1    2.757    2.973    2.961    0.95    2.805    8.0    2    -3.575    1.195    4.839    8.401    1.807    9.775    1.157    2.235    0.061    0.248    this work
CH2_AgAu_211_bridge1-s-2    3.249    2.973    2.965    0.89    2.26    8.0    2    -3.847    1.079    4.839    7.576    1.304    9.824    1.038    1.93    0.042    0.223    this work
CH2_AgAu_211_bridge1-s-3    2.815    2.973    2.948    0.95    2.805    8.0    2    -3.552    1.203    4.839    8.401    1.807    9.775    1.169    2.235    0.058    0.266    this work
CH2_AgAu_211_bridge1-s-4    2.412    2.973    2.945    1.01    3.35    8.0    2    -3.281    1.318    4.839    9.226    2.309    9.726    1.288    2.54    0.076    0.292    this work
CH2_AgAu_211_bridge1-t-1    2.612    2.973    2.968    1.01    3.35    9.5    2    -3.404    1.398    4.839    9.226    2.309    9.705    1.353    2.54    0.085    0.263    this work
CH2_AgAu_211_bridge1-t-2    2.845    2.973    2.971    0.95    2.805    9.5    2    -3.675    1.283    4.839    8.401    1.807    9.754    1.233    2.235    0.066    0.237    this work
CH2_AgAu_211_bridge1-t-4    2.929    2.973    2.979    0.95    2.805    9.5    2    -3.629    1.294    4.839    8.401    1.807    9.747    1.235    2.235    0.067    0.24    this work
CH2_AgAu_211_bridge2-s-1    2.401    2.973    2.941    0.95    2.805    7.0    2    -3.514    1.131    4.839    8.401    1.807    9.79    1.114    2.235    0.053    0.268    this work
CH2_AgAu_211_bridge2-s-2    2.452    2.973    2.941    0.95    2.805    7.0    2    -3.514    1.131    4.839    8.401    1.807    9.79    1.114    2.235    0.053    0.268    this work
CH2_AgAu_211_bridge2-t-1    2.758    2.973    2.968    0.95    2.805    9.0    2    -3.614    1.266    4.839    8.401    1.807    9.76    1.212    2.235    0.065    0.246    this work
CH2_AgAu_211_bridge2-t-2    2.823    2.973    2.968    0.95    2.805    9.0    2    -3.614    1.266    4.839    8.401    1.807    9.76    1.212    2.235    0.065    0.246    this work
CH2_AgAu_211_bridge3-s-1    2.635    2.973    2.958    0.95    2.805    8.5    2    -3.568    1.23    4.839    8.401    1.807    9.762    1.191    2.235    0.059    0.26    this work
CH2_AgAu_211_bridge3-s-2    2.748    2.973    2.965    0.95    2.805    8.5    2    -3.637    1.211    4.839    8.401    1.807    9.769    1.178    2.235    0.062    0.239    this work
CH2_AgAu_211_top-s-1    3.779    2.973    2.958    0.89    2.26    7.0    1    -3.808    1.008    4.839    7.576    1.304    9.839    0.983    1.93    0.038    0.225    this work
CH2_AgAu_211_top-s-2    2.939    2.973    2.924    1.01    3.35    7.0    1    -3.219    1.255    4.839    9.226    2.309    9.74    1.245    2.54    0.069    0.312    this work
CH2_AgAu_211_top-t-1    3.721    2.973    2.972    0.89    2.26    9.0    1    -3.886    1.151    4.839    7.576    1.304    9.809    1.093    1.93    0.046    0.221    this work
CH2_AgPd_211_bridge1-s-4    1.786    2.883    2.853    0.94    2.78    8.0    2    -1.31    1.332    4.895    8.337    0.562    9.439    0.772    2.2    0.55    0.169    this work
CH2_AgPd_211_bridge1-t-1    1.7    2.883    2.873    0.94    2.78    9.5    2    -1.408    1.429    4.895    8.337    0.562    9.401    0.839    2.2    0.566    0.156    this work
CH2_AgPd_211_bridge1-t-4    2.439    2.883    2.885    0.915    2.52    9.5    2    -2.456    1.276    4.895    7.957    0.933    9.627    0.921    2.065    0.336    0.149    this work
CH2_AgPd_211_bridge2-s-1    2.141    2.883    2.866    0.915    2.52    7.0    2    -2.343    1.118    4.895    7.957    0.933    9.672    0.795    2.065    0.262    0.193    this work
CH2_AgPd_211_bridge2-s-2    2.125    2.883    2.866    0.915    2.52    7.0    2    -2.343    1.118    4.895    7.957    0.933    9.672    0.795    2.065    0.262    0.193    this work
CH2_AgPd_211_bridge2-t-1    2.406    2.883    2.879    0.915    2.52    9.0    2    -2.449    1.25    4.895    7.957    0.933    9.629    0.898    2.065    0.331    0.16    this work
CH2_AgPd_211_bridge3-s-2    2.375    2.883    2.872    0.915    2.52    8.5    2    -2.376    1.204    4.895    7.957    0.933    9.657    0.875    2.065    0.272    0.166    this work
CH2_AgPd_211_four-fold-s-1    2.273    2.883    2.88    0.915    2.52    8.5    4    -2.409    1.21    4.895    7.957    0.933    9.645    0.868    2.065    0.275    0.173    this work
CH2_AgPd_211_four-fold-s-2    2.294    2.883    2.88    0.915    2.52    8.5    4    -2.409    1.21    4.895    7.957    0.933    9.645    0.868    2.065    0.275    0.173    this work
CH2_AgPd_211_top-s-2    2.121    2.883    2.84    0.94    2.78    7.0    1    -1.231    1.261    4.895    8.337    0.562    9.47    0.726    2.2    0.486    0.186    this work
CH2_AgPd_211_top-t-1    2.652    2.883    2.865    0.94    2.78    9.0    1    -1.39    1.404    4.895    8.337    0.562    9.409    0.818    2.2    0.614    0.152    this work
CH2_Au_211_bridge1-s    2.567    2.99    2.959    1.01    3.35    8.0    2    -3.168    1.377    5.28    9.226    2.309    9.734    1.24    2.54    0.088    0.247    this work
CH2_Au_211_bridge1-t    2.726    2.99    2.99    1.01    3.35    9.5    2    -3.264    1.449    5.28    9.226    2.309    9.72    1.297    2.54    0.098    0.223    this work
CH2_Au_211_bridge2-s    2.118    2.99    2.936    1.01    3.35    7.0    2    -3.127    1.323    5.28    9.226    2.309    9.732    1.2    2.54    0.079    0.26    this work
CH2_Au_211_bridge2-t    2.585    2.99    2.982    1.01    3.35    9.0    2    -3.21    1.432    5.28    9.226    2.309    9.733    1.281    2.54    0.097    0.233    this work
CH2_Au_211_bridge3-s    2.43    2.99    2.967    1.01    3.35    8.5    2    -3.223    1.395    5.28    9.226    2.309    9.714    1.257    2.54    0.088    0.237    this work
CH2_Au_211_top-s    3.116    2.99    2.936    1.01    3.35    7.0    1    -3.127    1.323    5.28    9.226    2.309    9.736    1.201    2.54    0.079    0.26    this work
CH2_Au_211_top-t    3.384    2.99    2.982    1.01    3.35    9.0    1    -3.21    1.433    5.28    9.226    2.309    9.726    1.281    2.54    0.097    0.233    this work
CH2_Au@Ni_211_bridge1-s-1    1.953    2.502    2.595    0.86    2.255    8.0    2    -2.337    1.656    5.04    8.433    1.733    9.129    1.21    2.225    1.1    0.178    this work
CH2_Au@Ni_211_bridge2-s-1    1.456    2.502    2.572    0.86    2.255    7.0    2    -2.302    1.599    5.04    8.433    1.733    9.171    1.166    2.225    1.134    0.212    this work
CH2_Au@Ni_211_bridge2-s-2    0.944    2.502    2.465    0.71    1.16    7.0    2    -1.149    1.674    5.04    7.64    1.157    8.768    1.173    1.91    2.065    0.214    this work
CH2_Au@Ni_211_bridge2-t-1    1.737    2.502    2.511    0.71    1.16    9.0    2    -1.22    1.787    5.04    7.64    1.157    8.699    1.261    1.91    2.0    0.145    this work
CH2_Au@Ni_211_bridge3-s-2    1.34    2.502    2.482    0.71    1.16    8.5    2    -1.226    1.788    5.04    7.64    1.157    8.738    1.246    1.91    1.95    0.164    this work
CH2_Au@Ni_211_fcc-s-1    1.923    2.502    2.567    0.81    1.89    8.333    3    -1.965    1.7    5.04    8.169    1.541    8.988    1.227    2.12    1.399    0.167    this work
CH2_Au@Ni_211_fcc-s-2    1.216    2.502    2.483    0.71    1.16    8.333    3    -1.218    1.763    5.04    7.64    1.157    8.723    1.235    1.91    1.988    0.167    this work
CH2_Au@Ni_211_fcc-t-1    1.783    2.502    2.508    0.71    1.16    9.667    3    -1.261    1.864    5.04    7.64    1.157    8.691    1.303    1.91    1.856    0.126    this work
CH2_Au@Ni_211_fcc-t-2    1.473    2.502    2.491    0.71    1.16    9.667    3    -1.294    1.878    5.04    7.64    1.157    8.711    1.304    1.91    1.864    0.124    this work
CH2_Au@Ni_211_four-fold-s-2    1.374    2.502    2.482    0.71    1.16    8.5    4    -1.225    1.788    5.04    7.64    1.157    8.741    1.246    1.91    1.953    0.164    this work
CH2_Au@Ni_211_hcp-s-2    1.08    2.502    2.468    0.71    1.16    7.667    3    -1.193    1.726    5.04    7.64    1.157    8.746    1.206    1.91    2.012    0.19    this work
CH2_Au@Ni_211_hcp-t-1    1.426    2.502    2.511    0.71    1.16    9.333    3    -1.235    1.826    5.04    7.64    1.157    8.689    1.283    1.91    1.907    0.137    this work
CH2_Au@Ni_211_hcp-t-2    1.291    2.502    2.495    0.71    1.16    9.333    3    -1.268    1.839    5.04    7.64    1.157    8.709    1.284    1.91    1.915    0.134    this work
CH2_Au@Ni_211_top-s-1    2.844    2.502    2.679    1.01    3.35    7.0    1    -3.455    1.525    5.04    9.226    2.309    9.565    1.159    2.54    0.197    0.21    this work
CH2_Au@Ni_211_top-t-1    2.2    2.502    2.511    0.71    1.16    9.0    1    -1.219    1.787    5.04    7.64    1.157    8.693    1.261    1.91    2.003    0.145    this work
CH2_Au@Ni_211_top-t-2    2.114    2.502    2.473    0.71    1.16    9.0    1    -1.281    1.83    5.04    7.64    1.157    8.704    1.273    1.91    1.907    0.143    this work
CH2_Co_0001_bridge2-s    1.132    2.504    2.464    0.76    1.34    7.0    2    -1.211    1.88    4.819    7.881    0.662    7.65    1.134    1.88    1.116    0.239    this work
CH2_Co_0001_fcc-s    1.321    2.504    2.472    0.76    1.34    8.333    3    -1.198    1.977    4.819    7.881    0.662    7.696    1.229    1.88    1.103    0.212    this work
CH2_Co_0001_fcc-t    1.363    2.504    2.492    0.76    1.34    9.333    3    -1.211    2.051    4.819    7.881    0.662    7.73    1.25    1.88    1.029    0.156    this work
CH2_Co_0001_four-fold-s    1.357    2.504    2.484    0.76    1.34    8.5    4    -1.223    1.992    4.819    7.881    0.662    7.68    1.217    1.88    1.065    0.189    this work
CH2_Co_0001_hcp-s    1.134    2.504    2.468    0.76    1.34    7.667    3    -1.205    1.929    4.819    7.881    0.662    7.672    1.181    1.88    1.109    0.225    this work
CH2_Co_0001_top-s    1.757    2.504    2.464    0.76    1.34    7.0    1    -1.211    1.88    4.819    7.881    0.662    7.654    1.133    1.88    1.116    0.239    this work
CH2_Co_0001_top-t    2.15    2.504    2.486    0.76    1.34    9.0    1    -1.198    2.025    4.819    7.881    0.662    7.736    1.225    1.88    1.037    0.164    this work
CH2_Co_211_bridge2-s    1.136    2.509    2.468    0.76    1.34    7.0    2    -1.256    1.87    4.828    7.881    0.662    7.687    1.143    1.88    1.225    0.242    this work
CH2_Co_211_fcc-s    1.403    2.509    2.478    0.76    1.34    8.333    3    -1.245    2.002    4.828    7.881    0.662    7.662    1.219    1.88    1.043    0.184    this work
CH2_Co_211_four-fold-s    1.422    2.509    2.488    0.76    1.34    8.5    4    -1.272    1.99    4.828    7.881    0.662    7.672    1.227    1.88    1.117    0.188    this work
CH2_Co_211_hcp-s    1.175    2.509    2.473    0.76    1.34    7.667    3    -1.251    1.936    4.828    7.881    0.662    7.677    1.181    1.88    1.134    0.213    this work
CH2_Co_211_hcp-t    1.429    2.509    2.492    0.76    1.34    9.333    3    -1.256    2.082    4.828    7.881    0.662    7.653    1.276    1.88    0.971    0.148    this work
CH2_Co_211_top-s    1.74    2.509    2.468    0.76    1.34    7.0    1    -1.254    1.871    4.828    7.881    0.662    7.68    1.142    1.88    1.224    0.242    this work
CH2_Co_211_top-t    2.187    2.509    2.483    0.76    1.34    9.0    1    -1.239    2.068    4.828    7.881    0.662    7.651    1.258    1.88    0.953    0.155    this work
CH2_Cu_211_bridge2-s    1.956    2.603    2.556    0.67    1.0    7.0    2    -2.282    0.955    4.719    7.726    1.236    9.722    1.129    1.9    0.09    0.264    this work
CH2_Cu_211_bridge3-s    2.157    2.603    2.577    0.67    1.0    8.5    2    -2.372    1.044    4.719    7.726    1.236    9.719    1.209    1.9    0.097    0.244    this work
CH2_Cu_211_fcc-s    2.202    2.603    2.573    0.67    1.0    8.333    3    -2.355    1.063    4.719    7.726    1.236    9.692    1.202    1.9    0.1    0.247    this work
CH2_Cu_211_fcc-t    2.319    2.603    2.593    0.67    1.0    9.667    3    -2.439    1.127    4.719    7.726    1.236    9.697    1.272    1.9    0.104    0.229    this work
CH2_Cu_211_four-fold-s    2.246    2.603    2.577    0.67    1.0    8.5    4    -2.372    1.044    4.719    7.726    1.236    9.714    1.208    1.9    0.097    0.244    this work
CH2_Cu_211_hcp-s    2.186    2.603    2.564    0.67    1.0    7.667    3    -2.319    1.009    4.719    7.726    1.236    9.708    1.166    1.9    0.095    0.256    this work
CH2_Cu_211_top-s    2.657    2.603    2.556    0.67    1.0    7.0    1    -2.283    0.955    4.719    7.726    1.236    9.717    1.129    1.9    0.09    0.264    this work
CH2_Cu_211_top-t    2.925    2.603    2.581    0.67    1.0    9.0    1    -2.39    1.117    4.719    7.726    1.236    9.681    1.238    1.9    0.105    0.239    this work
CH2_Fe_210_bridge2-t    1.094    2.476    2.492    0.8    1.59    6.0    2    -0.604    2.411    4.43    7.902    0.153    6.649    1.316    1.83    0.647    0.278    this work
CH2_Fe_210_bridge3-s    1.341    2.476    2.476    0.8    1.59    5.0    2    -0.695    2.361    4.43    7.902    0.153    6.638    1.26    1.83    0.752    0.245    this work
CH2_Fe_210_fcc-s    1.079    2.476    2.478    0.8    1.59    5.333    3    -0.67    2.37    4.43    7.902    0.153    6.64    1.273    1.83    0.701    0.272    this work
CH2_Fe_210_fcc-t    1.287    2.476    2.498    0.8    1.59    6.0    3    -0.592    2.425    4.43    7.902    0.153    6.652    1.329    1.83    0.679    0.245    this work
CH2_Fe_210_four-fold-s    1.099    2.476    2.476    0.8    1.59    5.0    4    -0.695    2.36    4.43    7.902    0.153    6.638    1.26    1.83    0.752    0.245    this work
CH2_Fe_210_hcp-s    0.902    2.476    2.465    0.8    1.59    4.667    3    -0.737    2.33    4.43    7.902    0.153    6.631    1.229    1.83    0.755    0.266    this work
CH2_Fe_210_hcp-t    1.033    2.476    2.495    0.8    1.59    6.0    3    -0.598    2.418    4.43    7.902    0.153    6.65    1.323    1.83    0.663    0.261    this work
CH2_Fe_210_top-s    1.74    2.476    2.451    0.8    1.59    4.0    1    -0.804    2.29    4.43    7.902    0.153    6.623    1.185    1.83    0.809    0.261    this work
CH2_Ir_211_bridge1-s    1.026    2.753    2.707    1.08    4.45    8.0    2    -1.868    2.558    5.489    9.121    1.564    7.742    1.262    2.2    1.401    0.19    this work
CH2_Ir_211_bridge1-t    1.113    2.753    2.735    1.08    4.45    9.5    2    -2.007    2.705    5.489    9.121    1.564    7.695    1.32    2.2    1.299    0.11    this work
CH2_Ir_211_bridge2-s    0.363    2.753    2.699    1.08    4.45    7.0    2    -1.706    2.442    5.489    9.121    1.564    7.8    1.214    2.2    1.538    0.258    this work
CH2_Ir_211_bridge2-t    1.161    2.753    2.715    1.08    4.45    9.0    2    -2.027    2.683    5.489    9.121    1.564    7.682    1.31    2.2    1.263    0.122    this work
CH2_Ir_211_bridge3-s    0.725    2.753    2.727    1.08    4.45    8.5    2    -1.848    2.58    5.489    9.121    1.564    7.754    1.273    2.2    1.436    0.178    this work
CH2_Ir_211_hcp-s    1.121    2.753    2.704    1.08    4.45    7.667    3    -1.813    2.522    5.489    9.121    1.564    7.761    1.246    2.2    1.446    0.213    this work
CH2_Ir_211_top-s    1.003    2.753    2.699    1.08    4.45    7.0    1    -1.703    2.45    5.489    9.121    1.564    7.799    1.214    2.2    1.537    0.258    this work
CH2_Ir_211_top-t    1.607    2.753    2.715    1.08    4.45    9.0    1    -2.027    2.683    5.489    9.121    1.564    7.68    1.31    2.2    1.263    0.122    this work
CH2_IrRu_211_bridge1-t-1    1.275    2.737    2.723    1.05    3.87    9.5    2    -1.43    2.39    5.53    7.361    1.046    7.036    0.983    2.2    1.624    0.113    this work
CH2_IrRu_211_bridge1-t-3    1.014    2.737    2.717    1.08    4.45    9.5    2    -1.956    2.568    5.53    9.121    1.564    7.618    1.264    2.2    1.183    0.151    this work
CH2_IrRu_211_bridge1-t-4    1.165    2.737    2.718    1.065    4.16    9.5    2    -1.703    2.475    5.53    8.241    1.305    7.319    1.12    2.2    1.407    0.128    this work
CH2_IrRu_211_bridge2-s-1    0.438    2.737    2.689    1.065    4.16    7.0    2    -1.446    2.214    5.53    8.241    1.305    7.398    1.005    2.2    1.807    0.322    this work
CH2_IrRu_211_bridge2-s-2    0.503    2.737    2.689    1.065    4.16    7.0    2    -1.446    2.214    5.53    8.241    1.305    7.398    1.005    2.2    1.807    0.322    this work
CH2_IrRu_211_bridge2-t-1    1.268    2.737    2.704    1.065    4.16    9.0    2    -1.695    2.46    5.53    8.241    1.305    7.319    1.106    2.2    1.54    0.149    this work
CH2_IrRu_211_bridge3-s-1    0.819    2.737    2.712    1.065    4.16    8.5    2    -1.554    2.353    5.53    8.241    1.305    7.392    1.072    2.2    1.535    0.245    this work
CH2_IrRu_211_bridge3-s-2    0.947    2.737    2.712    1.065    4.16    8.5    2    -1.583    2.36    5.53    8.241    1.305    7.342    1.073    2.2    1.538    0.192    this work
CH2_IrRu_211_fcc-s-2    0.932    2.737    2.701    1.06    4.063    8.333    3    -1.531    2.352    5.53    7.948    1.219    7.234    1.027    2.2    1.702    0.184    this work
CH2_IrRu_211_four-fold-s-1    1.152    2.737    2.712    1.065    4.16    8.5    4    -1.568    2.356    5.53    8.241    1.305    7.367    1.073    2.2    1.537    0.219    this work
CH2_IrRu_211_four-fold-s-2    1.046    2.737    2.712    1.065    4.16    8.5    4    -1.568    2.356    5.53    8.241    1.305    7.367    1.073    2.2    1.537    0.219    this work
CH2_IrRu_211_hcp-s-1    0.732    2.737    2.694    1.07    4.257    7.667    3    -1.614    2.327    5.53    8.534    1.391    7.472    1.087    2.2    1.643    0.272    this work
CH2_IrRu_211_hcp-s-2    0.762    2.737    2.695    1.06    4.063    7.667    3    -1.445    2.265    5.53    7.948    1.219    7.272    0.991    2.2    1.793    0.256    this work
CH2_IrRu_211_hcp-t-1    1.033    2.737    2.716    1.06    4.063    9.333    3    -1.603    2.444    5.53    7.948    1.219    7.23    1.072    2.2    1.521    0.133    this work
CH2_IrRu_211_hcp-t-2    1.014    2.737    2.713    1.07    4.257    9.333    3    -1.785    2.501    5.53    8.534    1.391    7.419    1.163    2.2    1.377    0.143    this work
CH2_IrRu_211_top-s-1    0.943    2.737    2.685    1.08    4.45    7.0    1    -1.69    2.292    5.53    9.121    1.564    7.731    1.141    2.2    1.587    0.389    this work
CH2_IrRu_211_top-s-2    1.584    2.737    2.694    1.05    3.87    7.0    1    -1.203    2.137    5.53    7.361    1.046    7.066    0.87    2.2    2.026    0.254    this work
CH2_IrRu_211_top-t-1    1.864    2.737    2.705    1.05    3.87    9.0    1    -1.442    2.367    5.53    7.361    1.046    7.019    0.962    2.2    1.764    0.125    this work
CH2_IrRu_211_top-t-2    1.575    2.737    2.703    1.08    4.45    9.0    1    -1.949    2.553    5.53    9.121    1.564    7.618    1.251    2.2    1.316    0.172    this work
CH2_Ni_211_bridge1-t    1.367    2.502    2.493    0.71    1.16    9.5    2    -1.291    1.852    4.945    7.64    1.157    8.792    1.3    1.91    1.809    0.132    this work
CH2_Ni_211_bridge2-s    0.936    2.502    2.464    0.71    1.16    7.0    2    -1.158    1.645    4.945    7.64    1.157    8.86    1.141    1.91    1.873    0.218    this work
CH2_Ni_211_bridge3-s    1.29    2.502    2.484    0.71    1.16    8.5    2    -1.231    1.769    4.945    7.64    1.157    8.821    1.232    1.91    1.786    0.169    this work
